gene	n_hits
A1BG	10
A1CF	7
A2M	52
A2ML1	4
A3GALT2	0
A4GALT	4
A4GNT	8
AAAS	47
AACS	15
AADAC	5
AADACL2	0
AADACL3	0
AADACL4	1
AADAT	1
AAGAB	2
AAK1	11
AAMDC	1
AAMP	8
AANAT	12
AAR2	1
AARD	2
AARS1	0
AARS2	0
AARSD1	1
AASDH	2
AASDHPPT	2
AASS	10
AATF	21
AATK	9
ABAT	17
ABCA1	167
ABCA2	27
ABCA3	38
ABCA4	7
ABCA5	10
ABCA6	5
ABCA7	14
ABCA8	16
ABCA9	8
ABCA10	4
ABCA12	11
ABCA13	10
ABCB1	600
ABCB4	47
ABCB5	106
ABCB6	28
ABCB7	5
ABCB8	6
ABCB9	6
ABCB10	22
ABCB11	27
ABCC1	534
ABCC2	343
ABCC3	123
ABCC4	135
ABCC5	90
ABCC6	36
ABCC8	13
ABCC9	13
ABCC10	60
ABCC11	47
ABCC12	5
ABCD1	5
ABCD2	4
ABCD3	11
ABCD4	6
ABCE1	35
ABCF1	11
ABCF2	22
ABCF3	4
ABCG1	93
ABCG2	600
ABCG4	10
ABCG5	32
ABCG8	26
ABHD1	0
ABHD2	8
ABHD3	0
ABHD4	2
ABHD5	12
ABHD6	8
ABHD8	3
ABHD10	0
ABHD11	23
ABHD12	5
ABHD12B	1
ABHD13	0
ABHD14A	1
ABHD14B	2
ABHD15	0
ABHD16A	1
ABHD16B	0
ABHD17A	1
ABHD17B	1
ABHD17C	2
ABHD18	0
ABI1	23
ABI2	5
ABI3	7
ABI3BP	7
ABITRAM	0
ABL1	347
ABL2	56
ABLIM1	2
ABLIM2	4
ABLIM3	3
ABO	575
ABR	71
ABRA	7
ABRACL	4
ABRAXAS1	3
ABRAXAS2	0
ABT1	0
ABTB1	2
ABTB2	1
ACAA1	8
ACAA2	6
ACACA	38
ACACB	18
ACAD8	3
ACAD9	1
ACAD10	4
ACAD11	1
ACADL	14
ACADM	12
ACADS	11
ACADSB	7
ACADVL	3
ACAN	19
ACAP1	6
ACAP2	7
ACAP3	1
ACAT1	45
ACAT2	14
ACBD3	5
ACBD4	0
ACBD5	2
ACBD6	1
ACBD7	0
ACCS	172
ACCSL	0
ACD	232
ACE	600
ACE2	192
ACER1	3
ACER2	9
ACER3	8
ACHE	320
ACIN1	6
ACKR1	8
ACKR2	14
ACKR3	39
ACKR4	6
ACLY	114
ACMSD	2
ACO1	12
ACO2	24
ACOD1	0
ACOT1	6
ACOT2	2
ACOT4	4
ACOT6	0
ACOT7	8
ACOT8	5
ACOT9	0
ACOT11	4
ACOT12	1
ACOT13	1
ACOX1	20
ACOX2	9
ACOX3	5
ACOXL	3
ACP1	19
ACP2	5
ACP3	1
ACP4	0
ACP5	22
ACP6	2
ACP7	0
ACR	600
ACRBP	8
ACRV1	1
ACSBG1	3
ACSBG2	1
ACSF2	1
ACSF3	2
ACSL1	38
ACSL3	27
ACSL4	62
ACSL5	26
ACSL6	8
ACSM1	7
ACSM2A	0
ACSM2B	0
ACSM3	4
ACSM4	1
ACSM5	1
ACSM6	0
ACSS1	13
ACSS2	39
ACSS3	6
ACTA1	13
ACTA2	89
ACTB	197
ACTBL2	3
ACTC1	15
ACTG1	24
ACTG2	17
ACTL6A	14
ACTL6B	5
ACTL7A	4
ACTL7B	0
ACTL8	9
ACTL9	0
ACTL10	2
ACTN1	18
ACTN2	7
ACTN3	3
ACTN4	62
ACTR1A	4
ACTR1B	0
ACTR2	6
ACTR3	8
ACTR3B	2
ACTR3C	1
ACTR5	0
ACTR6	1
ACTR8	0
ACTR10	0
ACTRT1	2
ACTRT2	0
ACTRT3	0
ACVR1	33
ACVR1B	21
ACVR1C	5
ACVR2A	34
ACVR2B	28
ACVRL1	25
ACY1	12
ACY3	1
ACYP1	2
ACYP2	29
ADA	332
ADA2	11
ADAD1	2
ADAD2	2
ADAL	1
ADAM2	9
ADAM7	2
ADAM8	56
ADAM9	139
ADAM10	243
ADAM11	2
ADAM12	110
ADAM15	39
ADAM17	333
ADAM18	1
ADAM19	22
ADAM20	1
ADAM21	2
ADAM22	8
ADAM23	33
ADAM28	29
ADAM29	13
ADAM30	0
ADAM32	3
ADAM33	10
ADAMDEC1	9
ADAMTS1	82
ADAMTS2	12
ADAMTS3	7
ADAMTS4	13
ADAMTS5	27
ADAMTS6	9
ADAMTS7	5
ADAMTS8	16
ADAMTS9	69
ADAMTS10	3
ADAMTS12	18
ADAMTS13	50
ADAMTS14	10
ADAMTS15	12
ADAMTS16	9
ADAMTS17	5
ADAMTS18	15
ADAMTS19	4
ADAMTS20	7
ADAMTSL1	4
ADAMTSL2	1
ADAMTSL3	6
ADAMTSL4	3
ADAMTSL5	2
ADAP1	6
ADAP2	2
ADAR	119
ADARB1	8
ADARB2	5
ADAT1	0
ADAT2	2
ADAT3	1
ADCK1	1
ADCK2	2
ADCK5	1
ADCY1	13
ADCY2	16
ADCY3	12
ADCY4	5
ADCY5	10
ADCY6	6
ADCY7	3
ADCY8	8
ADCY9	16
ADCY10	2
ADCYAP1	12
ADCYAP1R1	2
ADD1	11
ADD2	4
ADD3	11
ADGB	2
ADGRA1	0
ADGRA2	2
ADGRA3	1
ADGRB1	5
ADGRB2	0
ADGRB3	0
ADGRD1	2
ADGRD2	1
ADGRE1	3
ADGRE2	1
ADGRE3	0
ADGRE5	4
ADGRF1	1
ADGRF2	0
ADGRF3	0
ADGRF4	1
ADGRF5	0
ADGRG1	9
ADGRG2	1
ADGRG3	2
ADGRG4	0
ADGRG5	1
ADGRG6	5
ADGRG7	2
ADGRL1	1
ADGRL2	1
ADGRL3	0
ADGRL4	2
ADGRV1	0
ADH1A	17
ADH1B	160
ADH1C	78
ADH4	18
ADH5	17
ADH6	10
ADH7	23
ADHFE1	20
ADI1	6
ADIG	0
ADIPOQ	129
ADIPOR1	126
ADIPOR2	86
ADIRF	3
ADK	44
ADM	600
ADM2	4
ADM5	1
ADNP	14
ADNP2	1
ADO	282
ADORA1	18
ADORA2A	17
ADORA2B	15
ADORA3	6
ADPGK	17
ADPRH	0
ADPRHL1	2
ADPRM	0
ADPRS	0
ADRA1A	10
ADRA1B	6
ADRA1D	6
ADRA2A	15
ADRA2B	7
ADRA2C	3
ADRB1	15
ADRB2	78
ADRB3	15
ADRM1	23
ADSL	9
